filename,d(ebr),t(ebr),d(ebe),t(ebe),d(ebm),t(ebm),d(efr),t(efr),d(efe),t(efe),d(efm),t(efm),d(sbr),t(sbr),d(sbe),t(sbe),d(sbm),t(sbm),d(sfr),t(sfr),d(sfe),t(sfe),d(sfm),t(sfm),d(ibr),t(ibr),d(ibe),t(ibe),d(ibm),t(ibm),d(ifr),t(ifr),d(ife),t(ife),d(ifm),t(ifm)
wt_40_001.txt,543.70,0.18,0.00,0.04,0.00,0.05,309.97,0.16,0.00,0.04,0.00,0.04,29.46,4.42,0.00,1.52,0.00,1.15,1.86,9.40,1.86,1.43,1.86,1.18,716.21,0.65,0.00,0.29,0.00,0.30,542.28,2.01,0.00,0.42,0.00,0.34
wt_40_002.txt,420.41,0.09,110.12,0.06,116.65,0.03,269.96,0.09,110.12,0.05,116.65,0.03,29.31,5.16,12.82,2.74,0.00,3.08,4.65,4.56,0.08,4.06,0.08,3.78,254.04,0.87,110.12,0.46,116.65,0.48,190.94,2.12,116.65,0.76,116.65,0.47
wt_40_003.txt,1607.26,0.05,182.12,0.04,182.12,0.02,1227.00,0.16,168.72,0.06,182.12,0.02,77.09,3.46,6.70,1.04,0.00,2.38,37.62,10.95,40.97,4.15,0.00,3.47,693.11,1.41,168.72,0.54,182.12,0.20,939.29,1.13,168.72,0.78,182.12,0.24
wt_40_004.txt,144.84,0.13,20.87,0.08,57.59,0.01,118.67,0.14,11.60,0.07,57.59,0.01,6.59,3.79,1.29,2.05,0.00,1.02,0.00,5.75,0.00,5.73,0.00,1.32,191.88,0.87,63.04,0.53,57.59,0.13,162.56,1.11,11.60,0.98,57.59,0.13
wt_40_005.txt,612.83,0.09,256.77,0.02,274.85,0.02,502.42,0.05,260.51,0.02,256.77,0.02,0.00,3.61,0.00,1.91,10.10,1.60,0.00,7.63,0.00,7.58,0.00,6.41,68.18,0.81,256.77,0.20,274.85,0.20,191.92,1.15,260.51,0.30,256.77,0.37
wt_40_006.txt,170.42,0.22,95.15,0.15,123.16,0.14,310.34,0.27,95.15,0.16,123.16,0.13,3.74,5.83,1.34,5.20,0.00,4.51,0.00,22.82,7.91,26.70,0.00,21.29,121.97,1.63,95.15,0.74,87.48,1.30,98.76,2.72,95.15,1.82,87.48,2.32
wt_40_007.txt,275.02,0.16,224.57,0.21,218.41,0.09,251.25,0.32,218.41,0.18,218.41,0.08,7.92,4.92,0.00,5.30,0.00,4.41,3.91,26.98,3.91,27.01,3.91,17.86,68.50,1.25,220.02,0.87,218.41,0.72,167.08,3.46,218.41,2.06,218.41,1.03
wt_40_008.txt,234.23,0.29,109.58,0.20,128.99,0.06,111.92,0.18,109.58,0.16,128.99,0.06,5.75,5.03,3.96,5.89,4.09,4.82,0.79,32.60,0.79,24.60,0.00,13.82,127.92,1.70,109.56,1.42,109.56,1.77,89.77,3.45,109.58,2.21,109.58,1.41
wt_40_009.txt,101.58,0.27,48.91,0.20,48.91,0.06,100.21,0.12,33.55,0.19,48.91,0.07,1.10,5.95,0.97,4.32,0.25,4.44,2.19,26.77,0.00,19.47,2.19,18.09,94.84,1.61,48.94,1.12,48.91,0.68,47.01,3.59,33.55,2.46,48.91,0.84
wt_40_010.txt,173.45,0.37,110.20,0.28,129.20,0.07,222.92,0.13,108.76,0.25,129.20,0.07,3.82,6.64,1.40,5.55,1.40,5.93,3.82,33.74,0.00,23.42,0.00,20.30,68.54,1.21,100.51,2.04,129.20,0.60,58.02,4.43,96.82,3.19,129.20,0.87
wt_40_011.txt,124.75,0.67,71.81,0.46,91.93,0.11,110.18,0.40,71.81,0.32,91.93,0.11,0.56,8.49,1.76,6.58,0.00,7.03,1.76,52.03,1.76,39.55,1.76,22.91,66.10,2.67,71.85,2.09,91.23,0.91,14.62,6.44,71.81,4.05,91.23,1.37
wt_40_012.txt,71.63,0.54,59.06,0.36,79.06,0.24,55.39,0.38,38.33,0.28,79.06,0.20,0.00,8.76,1.46,5.92,0.66,7.25,0.00,52.25,0.00,39.13,0.00,41.90,52.38,2.55,57.91,2.39,79.06,1.15,62.22,5.77,38.33,3.40,79.06,2.47
wt_40_013.txt,88.41,0.53,62.10,0.43,63.54,0.13,30.84,0.46,50.15,0.36,63.54,0.11,0.37,9.35,0.64,6.75,0.94,9.39,2.26,49.06,0.19,43.06,0.19,33.68,24.93,2.67,63.41,2.24,63.05,0.97,29.11,5.18,49.79,3.74,62.18,1.53
wt_40_014.txt,79.39,0.76,24.56,0.32,26.17,0.11,51.63,0.26,24.56,0.26,26.17,0.10,1.87,8.40,0.33,8.08,0.00,8.26,1.97,54.08,1.97,38.23,1.97,30.42,72.71,1.16,24.30,1.09,24.56,1.08,40.63,4.44,24.56,2.91,24.56,1.52
wt_40_015.txt,70.83,0.68,23.65,0.43,24.38,0.13,106.35,0.47,23.52,0.30,24.38,0.11,3.61,7.44,1.21,5.48,0.03,7.54,1.70,54.60,1.70,46.45,1.70,28.83,42.14,2.91,23.52,2.18,23.65,1.11,37.06,5.81,23.52,3.60,23.65,1.59
wt_40_016.txt,38.48,0.93,13.32,1.24,20.85,0.33,39.94,0.76,8.73,0.78,20.85,0.22,0.16,13.94,0.42,13.27,0.32,10.92,0.65,84.13,0.65,85.49,0.77,47.45,10.63,3.14,11.51,4.23,12.03,3.33,18.95,7.17,8.73,7.15,12.03,3.50
wt_40_017.txt,16.57,0.92,13.06,0.79,9.31,0.61,17.62,0.68,8.43,0.58,9.85,0.42,0.16,12.08,0.00,13.95,0.00,12.34,0.47,81.94,0.41,92.56,0.47,80.09,15.69,3.27,11.45,2.48,9.31,1.88,6.98,5.80,8.43,5.58,9.31,4.54
wt_40_018.txt,12.18,0.98,7.56,0.78,10.42,0.30,25.91,0.60,5.41,0.54,10.42,0.23,0.24,13.67,0.38,11.74,0.08,8.18,0.00,85.77,0.24,73.94,0.24,54.58,20.41,3.69,16.01,2.80,10.25,2.21,28.57,6.34,5.41,5.22,10.25,2.78
wt_40_019.txt,44.26,0.97,18.05,1.17,38.91,0.58,33.66,0.76,15.77,0.73,38.35,0.37,0.04,12.07,0.69,13.20,0.45,13.28,0.40,76.65,0.40,81.70,0.40,68.50,17.03,4.15,17.23,4.66,17.23,4.89,11.52,6.91,15.77,7.02,17.30,5.76
wt_40_020.txt,19.20,1.10,16.33,1.27,26.45,0.25,34.40,0.49,16.33,0.79,26.45,0.20,0.11,11.27,1.04,12.22,1.15,10.04,0.93,68.27,0.80,75.67,0.93,58.49,17.77,4.53,22.52,3.95,23.39,2.36,12.30,7.64,12.90,7.80,23.39,3.12
wt_40_021.txt,1.19,1.63,1.92,1.38,3.38,0.45,0.63,0.74,0.02,0.72,3.38,0.29,0.02,16.71,0.00,15.74,0.00,12.28,0.02,82.76,0.02,89.62,0.02,62.55,0.00,3.69,0.00,3.35,0.00,3.15,0.08,7.59,0.00,6.75,0.00,3.95
wt_40_022.txt,2.07,1.84,0.67,1.68,3.17,0.76,0.94,0.91,0.00,0.84,3.17,0.45,0.02,11.49,0.00,18.05,0.02,12.56,0.13,91.71,0.13,117.51,0.13,92.91,0.00,3.26,0.00,3.90,2.39,2.73,0.00,6.95,0.00,7.99,1.10,5.43
wt_40_023.txt,0.00,1.49,0.00,1.07,1.17,0.90,0.32,0.90,0.00,0.56,1.17,0.53,0.00,14.50,0.00,15.95,0.00,14.12,0.00,103.84,0.00,80.97,0.00,98.16,0.00,2.21,0.00,2.82,0.00,3.85,0.00,8.36,0.00,5.40,0.00,6.09
wt_40_024.txt,3.52,1.60,0.37,1.62,0.20,0.39,0.93,0.69,0.00,0.89,0.20,0.27,0.00,14.89,0.05,14.04,0.03,9.92,0.02,84.68,0.02,93.86,0.00,42.76,0.03,3.62,0.17,3.88,0.20,2.20,0.20,7.34,0.00,7.75,0.20,2.92
wt_40_025.txt,8.92,1.33,0.06,1.63,0.06,0.70,0.28,0.90,0.00,0.86,0.06,0.50,0.00,15.61,0.00,15.61,0.00,13.25,0.00,91.54,0.00,107.05,0.00,68.77,0.00,3.92,0.00,3.99,0.06,2.79,0.06,6.90,0.00,8.31,0.06,5.02
wt_40_026.txt,4954.63,0.12,0.00,0.02,0.00,0.01,4865.74,0.08,0.00,0.01,0.00,0.01,33.33,2.92,0.00,0.63,0.00,0.63,0.00,3.63,0.00,0.61,0.00,0.61,1135.19,0.60,0.00,0.12,0.00,0.12,1498.15,1.45,0.00,0.12,0.00,0.12
wt_40_027.txt,8084.38,0.14,0.00,0.00,0.00,0.00,2740.62,0.18,0.00,0.00,0.00,0.00,9.38,1.97,0.00,0.32,0.00,0.32,0.00,5.15,0.00,0.34,0.00,0.34,3142.19,0.67,0.00,0.07,0.00,0.07,7176.56,1.83,0.00,0.07,0.00,0.07
wt_40_028.txt,38026.67,0.12,0.00,0.00,0.00,0.00,12993.33,0.08,0.00,0.01,0.00,0.00,220.00,2.02,0.00,0.32,0.00,0.32,0.00,5.42,0.00,0.32,0.00,0.32,10626.67,0.50,0.00,0.06,0.00,0.06,14073.33,0.42,0.00,0.06,0.00,0.06
wt_40_029.txt,3685.11,0.16,0.00,0.01,0.00,0.01,934.04,0.11,0.00,0.00,0.00,0.00,551.06,2.61,0.00,0.32,0.00,0.36,538.30,3.11,0.00,0.32,0.00,0.32,1797.87,0.93,0.00,0.08,0.00,0.08,6840.43,1.96,0.00,0.07,0.00,0.07
wt_40_030.txt,4238.78,0.10,466.33,0.01,466.33,0.01,4590.82,0.07,0.00,0.02,466.33,0.01,178.57,3.48,7.14,0.68,0.00,1.02,7.14,4.68,7.14,1.62,0.00,1.67,2382.65,0.40,466.33,0.20,466.33,0.07,2629.59,2.14,0.00,0.31,466.33,0.07
wt_40_031.txt,351.53,0.30,59.10,0.16,117.95,0.09,261.99,0.25,57.76,0.13,117.95,0.09,12.38,8.08,5.46,3.45,0.00,5.20,1.28,17.92,1.28,20.44,1.28,20.91,116.14,3.12,102.07,0.96,102.07,1.02,134.75,4.42,57.76,1.51,59.10,1.95
wt_40_032.txt,308.93,0.32,89.46,0.12,96.24,0.07,459.76,0.24,48.17,0.14,96.24,0.07,6.61,7.78,0.00,4.78,0.00,2.92,0.02,24.97,0.02,17.36,0.02,6.00,253.39,1.45,48.17,1.99,48.17,1.50,181.63,5.59,48.17,1.85,48.17,1.40
wt_40_033.txt,171.25,0.43,46.80,0.26,144.39,0.06,462.55,0.23,46.16,0.20,144.39,0.05,9.20,6.73,2.41,4.77,1.28,4.89,5.54,34.64,5.54,24.62,5.54,19.83,317.79,1.60,85.83,1.57,144.39,0.61,425.69,5.02,46.16,2.34,144.39,0.59
wt_40_034.txt,439.43,0.19,162.24,0.17,342.75,0.04,303.59,0.30,162.24,0.13,342.75,0.03,12.76,5.37,8.19,3.75,0.00,3.88,0.00,21.37,15.22,13.43,6.08,11.92,96.53,1.39,316.77,1.02,295.09,0.74,339.16,2.46,162.24,1.74,295.09,0.82
wt_40_035.txt,188.60,0.31,80.32,0.11,121.72,0.04,231.68,0.33,80.32,0.10,121.72,0.05,0.96,6.13,0.96,2.79,0.00,4.13,5.73,22.43,1.08,7.82,1.08,8.28,187.18,1.55,80.32,0.60,79.79,0.42,88.73,2.60,80.32,1.37,80.32,1.10
wt_40_036.txt,171.32,0.69,53.10,0.62,75.23,0.12,127.00,0.31,35.29,0.45,75.23,0.10,5.16,10.16,2.57,10.36,0.42,9.87,1.25,57.11,1.25,62.00,1.60,36.55,53.49,2.75,37.92,3.52,40.43,2.49,51.72,6.00,35.29,5.13,41.83,1.99
wt_40_037.txt,207.49,0.66,33.54,0.40,50.61,0.12,120.53,0.37,27.30,0.31,50.61,0.10,0.39,12.13,0.28,8.47,0.17,4.91,0.29,41.74,0.29,35.99,0.29,26.81,65.06,3.90,27.97,2.40,38.88,1.25,79.23,6.92,27.43,3.69,39.07,1.74
wt_40_038.txt,102.12,0.61,33.25,0.67,58.30,0.10,82.30,0.41,26.08,0.46,57.36,0.08,2.60,11.41,1.40,9.98,1.61,7.99,0.26,44.96,0.26,30.20,0.00,19.90,58.38,3.41,42.67,1.84,57.11,1.11,50.66,6.49,26.08,5.51,57.10,1.12
wt_40_039.txt,171.07,0.60,33.24,0.25,6.81,0.15,45.73,0.43,6.81,0.21,6.81,0.11,5.42,10.06,3.48,6.89,0.16,5.71,2.45,61.09,2.45,33.90,2.45,23.96,69.69,2.77,28.10,1.78,6.81,0.85,80.98,5.28,6.81,2.41,6.81,1.41
wt_40_040.txt,90.38,0.63,47.76,0.38,73.83,0.09,36.30,0.39,45.26,0.27,73.83,0.08,3.13,10.78,3.02,7.91,0.02,9.26,1.90,66.52,1.90,45.68,1.90,54.72,48.39,3.53,45.86,1.52,50.58,1.63,28.07,6.60,45.26,3.23,49.19,2.36
wt_40_041.txt,43.26,0.91,24.70,1.08,28.75,0.16,31.25,0.72,4.34,0.71,28.75,0.12,0.23,12.00,1.23,15.28,0.68,11.36,0.00,68.74,0.00,72.90,0.00,48.68,2.15,3.74,17.35,4.07,28.75,1.32,13.52,6.43,4.34,7.15,28.75,1.54
wt_40_042.txt,16.28,1.12,4.65,0.93,22.36,0.30,36.81,0.65,0.02,0.61,22.36,0.22,0.07,15.00,0.00,14.42,0.23,14.41,0.32,88.13,0.32,79.75,0.32,72.34,0.19,5.03,5.85,4.06,10.23,3.30,0.62,7.48,0.04,6.17,5.83,4.83
wt_40_043.txt,50.67,1.02,9.15,0.84,31.40,0.26,20.48,0.79,5.16,0.60,31.40,0.20,0.00,16.10,0.39,15.92,0.38,11.07,0.00,89.89,0.00,78.03,0.00,65.70,5.17,3.04,13.98,3.49,11.18,2.16,11.40,7.52,5.16,6.04,15.46,3.84
wt_40_044.txt,38.22,1.00,5.58,1.04,19.25,0.16,12.30,0.80,0.00,0.63,19.25,0.13,0.61,15.46,0.48,14.76,0.36,11.00,0.00,74.34,0.00,68.45,0.31,40.81,8.75,4.64,3.39,4.77,13.11,1.48,8.73,5.85,0.00,6.04,12.99,2.58
wt_40_045.txt,42.41,0.75,24.39,0.85,33.80,0.32,26.51,0.65,0.18,0.70,33.80,0.31,0.18,16.04,0.51,14.21,1.38,17.13,0.00,84.12,0.00,70.69,0.00,76.09,9.04,3.84,9.25,5.07,24.85,2.75,4.54,6.52,0.18,6.37,32.51,3.03
wt_40_046.txt,0.88,1.67,0.22,1.25,2.42,0.44,0.08,0.91,0.08,0.65,2.40,0.27,0.00,14.42,0.00,14.88,0.06,11.62,0.12,109.17,0.12,85.84,0.12,57.05,0.03,3.55,0.03,3.32,0.11,4.24,0.27,7.31,0.08,5.97,0.24,3.48
wt_40_047.txt,13.13,1.30,3.83,1.52,4.25,0.49,4.25,0.84,0.00,0.85,4.25,0.30,0.00,12.78,0.00,16.21,0.00,14.93,0.02,107.15,0.02,108.85,0.02,60.36,0.00,3.89,0.00,4.32,2.62,2.87,0.01,6.91,0.00,7.34,0.85,4.27
